EvidenceID,Date,CaseID,ArtifactType,Description,Operation,Classification,Platform,Device,CollectedBy,Status,SchemaVersion
EV-00167,2026-08-06,BID-2026-1035,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Clinical Research Environment,Laboratory Information Server,National Response Cell,Collected,2
EV-00168,2026-08-07,BID-2026-4601,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Clinical Research Environment,Evidence Repository,Analyst Team Bravo,Collected,2
EV-00169,2026-08-07,BID-2026-1158,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Medical Research Laboratory,Specimen Tracking Terminal,BioDefense Task Force,Collected,2
EV-00170,2026-08-07,BID-2026-6053,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Digital Evidence Reconstruction Investigation,Research Data Repository,Biomedical Workstation,Analyst Team Alpha,Collected,2
EV-00171,2026-08-07,BID-2026-7379,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,Laboratory Control Network,Clinical Data Server,BioDefense Task Force,Collected,2
EV-00172,2026-08-07,BID-2026-2643,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion Investigation,Medical Research Laboratory,Laboratory Information Server,BioDefense Task Force,Collected,2
EV-00173,2026-08-07,BID-2026-6500,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Digital Evidence Reconstruction Investigation,Clinical Research Environment,Laboratory Information Server,BioDefense Task Force,Collected,2
EV-00174,2026-08-08,BID-2026-2784,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Biocontainment Network Investigation,Biomedical Analysis Cluster,Clinical Data Server,National Response Cell,Collected,2
EV-00175,2026-08-08,BID-2026-3237,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Laboratory Access Control Investigation,Laboratory Control Network,Medical Device Gateway,BioDefense Task Force,Collected,2
EV-00176,2026-08-09,BID-2026-1692,Authentication Logs,,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,Protected Research Network,Specimen Tracking Terminal,Joint Cyber Investigation Unit,Collected,2
EV-00177,2026-08-09,BID-2026-8790,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Biomedical Analysis Cluster,Laboratory Information Server,Analyst Team Alpha,Collected,2
EV-00178,2026-08-10,BID-2026-1107,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Laboratory Access Control Investigation,Medical Research Laboratory,Genome Analysis Workstation,Analyst Team Bravo,Collected,2
EV-00179,2026-08-10,BID-2026-3273,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Laboratory Control Network,Evidence Repository,Analyst Team Delta,Collected,2
EV-00180,2026-08-11,BID-2026-6424,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach Investigation,Federal Investigation Network,Genome Analysis Workstation,BioDefense Task Force,Collected,2
EV-00181,2026-08-11,BID-2026-7336,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Cyber-Biothreat Intelligence Review,Federal Investigation Network,Network Security Appliance,National Response Cell,Collected,2
EV-00182,2026-08-12,BID-2026-6172,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,Medical Research Laboratory,Laboratory Information Server,Analyst Team Bravo,Collected,2
EV-00183,2026-08-12,BID-2026-8062,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Research Data Repository,Specimen Tracking Terminal,Analyst Team Delta,Collected,2
EV-00184,2026-08-13,BID-2026-2880,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Laboratory Access Control Investigation,Genome Sequencing Environment,Laboratory Information Server,Analyst Team Alpha,Collected,2
EV-00185,2026-08-13,BID-2026-5282,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Specimen Management Security Review,Clinical Research Environment,Clinical Data Server,Analyst Team Bravo,Collected,2
EV-00186,2026-08-14,BID-2026-4791,Authentication Logs,,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,Genome Sequencing Environment,Medical Device Gateway,Analyst Team Delta,Collected,2
EV-00187,2026-08-14,BID-2026-6513,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Evidence Processing Network,Medical Device Gateway,National Response Cell,Collected,2
EV-00188,2026-08-15,BID-2026-2801,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Laboratory Access Control Investigation,Biosecurity Operations Center,Network Security Appliance,Analyst Team Delta,Collected,2
EV-00189,2026-08-15,BID-2026-6717,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion Investigation,Clinical Research Environment,Laboratory Information Server,BioDefense Task Force,Collected,2
EV-00190,2026-08-16,BID-2026-4760,Authentication Logs,,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,Protected Research Network,Clinical Data Server,Analyst Team Delta,Collected,2
EV-00191,2026-08-16,BID-2026-9730,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Research Data Repository,Research Database Server,BioDefense Task Force,Collected,2
EV-00192,2026-08-17,BID-2026-7240,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Genome Sequencing Environment,Laboratory Information Server,Analyst Team Bravo,Collected,2
EV-00193,2026-08-17,BID-2026-1008,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Research Data Repository,Clinical Data Server,Analyst Team Delta,Collected,2
EV-00194,2026-08-18,BID-2026-9800,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Supply Chain Security Investigation,Laboratory Control Network,Clinical Data Server,Analyst Team Bravo,Collected,2
EV-00195,2026-08-18,BID-2026-8887,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Digital Evidence Reconstruction Investigation,Medical Research Laboratory,Specimen Tracking Terminal,BioDefense Task Force,Collected,2
EV-00196,2026-08-19,BID-2026-5842,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Biomedical Analysis Cluster,Biomedical Workstation,Analyst Team Delta,Collected,2
EV-00197,2026-08-19,BID-2026-8627,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,Genome Sequencing Environment,Network Security Appliance,Analyst Team Alpha,Collected,2
EV-00198,2026-08-20,BID-2026-7168,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Genome Sequencing Environment,Clinical Data Server,Analyst Team Delta,Collected,2
EV-00199,2026-08-20,BID-2026-2218,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Supply Chain Security Investigation,Evidence Processing Network,Specimen Tracking Terminal,Analyst Team Delta,Collected,2
EV-00200,2026-08-21,BID-2026-5945,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach Investigation,Laboratory Control Network,Medical Device Gateway,Analyst Team Delta,Collected,2
EV-00201,2026-08-21,BID-2026-1480,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,Research Data Repository,Clinical Data Server,BioDefense Task Force,Collected,2
EV-00202,2026-08-22,BID-2026-3128,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Laboratory Control Network,Medical Device Gateway,Joint Cyber Investigation Unit,Collected,2
EV-00203,2026-08-22,BID-2026-1797,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Biocontainment Network Investigation,Biomedical Analysis Cluster,Access Control Server,Analyst Team Alpha,Collected,2
EV-00204,2026-08-23,BID-2026-4817,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,Medical Research Laboratory,Genome Analysis Workstation,Joint Cyber Investigation Unit,Collected,2
EV-00205,2026-08-23,BID-2026-9736,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach Investigation,Genome Sequencing Environment,Evidence Repository,National Response Cell,Collected,2
EV-00206,2026-09-03,BID-2026-3759,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Federal Investigation Network,Genome Analysis Workstation,Joint Cyber Investigation Unit,Collected,2
